record_id,locus_tag,yeast_ortholog,liu_subsystem,final_subsystem,assignment_source,evidence_summary,conflicting_candidates,pathway_order,manual_review_required,assignment_confidence
AOR00291,AO090003001205,SRP72,,tc,yeast_scaffold,yeast scaffold,,10.0,False,medium
AOR00292,AO090012000995,"SSA1,SSA2,SSA3,SSA4",,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00293,AO090011000513,SSB1 ,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00294,AO090103000007,SSB2,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00295,AO090113000129,SSE2,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00296,AO090010000311,"SSO1, SSO2",,snare,liu2014_description,liu2014 description,,140.0,False,medium
AOR00297,AO090005001482,STE13,,golgi_processing,yeast_scaffold,yeast scaffold,,90.0,False,medium
AOR00298,AO090038000562,STI1,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00299,AO090103000069,STT3,Erglycosylation,er_glycosylation,liu2014,Liu 2014 Table S1 subsystem,,30.0,False,high
AOR00300,AO090003000421,STU2,,,unassigned,,,,False,low
AOR00301,AO090020000592,SWA2,,hdsv,liu2014_description,liu2014 description,,110.0,False,medium
AOR00302,AO090023000690,SWP1,Erglycosylation,er_glycosylation,liu2014,Liu 2014 Table S1 subsystem,,30.0,False,high
AOR00303,AO090012000240,SYN8,,snare,kegg_pathway,,,140.0,False,low
AOR00304,AO090038000561,TCB1,,,unassigned,,,,False,low
AOR00305,AO090120000250,TED1,,gpi_biosynthesis,kegg_pathway,,,50.0,False,low
AOR00306,AO090102000487,TLG1,,snare,liu2014_description,liu2014 description,,140.0,False,medium
AOR00307,AO090003001228,TLG2,,snare,liu2014_description,liu2014 description,,140.0,False,medium
AOR00308,AO090023000078,TOR2,,,unassigned,,,,False,low
AOR00309,AO090012000873,TRL1,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00310,AO090701000055,TRS120 ,,,unassigned,,,,False,low
AOR00311,AO090011000833,TRS20,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00312,AO090120000403,TRS31,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00313,AO090701000012,TRS33,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00314,AO090005001065,TRX1,,,unassigned,,,,False,low
AOR00315,AO090009000281,TUB2,,,unassigned,,,,False,low
AOR00316,AO090005000840,TUB3,,,unassigned,,,,False,low
AOR00317,AO090009000287,TVP38,,,unassigned,,,,False,low
AOR00318,AO090012000248,UBA1,,erad,yeast_scaffold,yeast scaffold,,60.0,False,medium
AOR00319,AO090701000588,UBC12 ,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00320,AO090102000609,UBC7,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00321,AO090103000399,UBC7,HDSV,hdsv,liu2014,Liu 2014 Table S1 subsystem,,110.0,False,high
AOR00322,AO090102000527,UBP15,,,unassigned,,,,False,low
AOR00323,AO090011000379,UBX2/UBX3,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00324,AO090005000853,UFD1,,erad,yeast_scaffold,yeast scaffold,,60.0,False,medium
AOR00325,AO090023000839,UFD2,,folding,kegg_pathway,,,40.0,False,low
AOR00326,AO090011000678,UFE1,SNARE,snare,liu2014,Liu 2014 Table S1 subsystem,,140.0,False,high
AOR00327,AO090038000558,UGP1,,,unassigned,,,,False,low
AOR00328,AO090026000428,UIP5,,folding,kegg_pathway,,,40.0,False,low
AOR00329,AO090012000504,USO1,,,unassigned,conflicting liu2014 description evidence,copii; snare,,True,low
AOR00330,AO090113000014,VAC8,,,unassigned,,,,False,low
AOR00331,AO090023000864,"VAM3, PEP12",ALPpathway,alp_pathway,liu2014,Liu 2014 Table S1 subsystem,,130.0,False,high
AOR00332,AO090026000605,VAM7,,snare,liu2014_description,liu2014 description,,140.0,False,medium
AOR00333,AO090011000398,VPS1,HDSV,hdsv,liu2014,Liu 2014 Table S1 subsystem,,110.0,False,high
AOR00334,AO090102000348,VPS1,HDSV,hdsv,liu2014,Liu 2014 Table S1 subsystem,,110.0,False,high
AOR00335,AO090113000006,VPS16 ,,cpy_pathway,liu2014_description,liu2014 description,,120.0,False,medium
AOR00336,AO090701000263,VPS17,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00337,AO090023000765,VPS21/YPT52 ,,,unassigned,,,,False,low
AOR00338,AO090012000925,VPS29,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00339,AO090026000225,VPS33 ,,cpy_pathway,liu2014_description,liu2014 description,,120.0,False,medium
AOR00340,AO090003000586,VPS35,,cpy_pathway,current_annotation,current annotation,,120.0,False,medium
AOR00341,AO090005001298,VPS4 ,,cpy_pathway,liu2014_description,liu2014 description,,120.0,False,medium
AOR00342,AO090003000675,VPS41 ,,cpy_pathway,liu2014_description,liu2014 description,,120.0,False,medium
AOR00343,AO090701000053,VPS45,,cpy_pathway,liu2014_description,liu2014 description,,120.0,False,medium
AOR00344,AO090009000311,VPS5,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00345,AO090003000939,VPS52 ,,cpy_pathway,liu2014_description,liu2014 description,,120.0,False,medium
AOR00346,AO090003000609,VPS70,,,unassigned,,,,False,low
AOR00347,AO090003000972,VPS70,,cpy_pathway,liu2014_description,liu2014 description,,120.0,False,medium
AOR00348,AO090009000688,VRG4,,,unassigned,,,,False,low
AOR00349,AO090012000979,VTC3,,,unassigned,,,,False,low
AOR00350,AO090011000795,VTC4,,,unassigned,,,,True,low
AOR00351,AO090003001144,VTI1,,snare,liu2014_description,liu2014 description,,140.0,False,medium
AOR00352,AO090020000468,WBP1,,er_glycosylation,liu2014_description+uniprot+kegg_ko,liu2014 description,,30.0,False,
AOR00353,AO090003000068,YCK2,,,unassigned,,,,False,low
AOR00354,AO090003000801,YDJ1,,folding,kegg_pathway,conflicting liu2014 description evidence,folding; tc,40.0,True,low
AOR00355,AO090003000506,YET3,,folding,kegg_pathway,,,40.0,False,low
AOR00356,AO090701000164,YIF1,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00357,AO090003000038,YIP3,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00358,AO090023000584,YKT6,SNARE,snare,liu2014,Liu 2014 Table S1 subsystem,,140.0,False,high
AOR00359,AO090009000178,YLR057W,,erad,aspergillus_homolog+uniprot+yeast_ortholog+kegg_ko,,,60.0,False,
AOR00360,AO090005000158,YNL320W,putative mitochondria protein,putative_mitochondria_protein,liu2014,Liu 2014 Table S1 subsystem,,180.0,False,high
AOR00361,AO090011000717,YOP1,,,unassigned,,,,False,low
AOR00362,AO090023000334,YOS9,ERAD,erad,liu2014,Liu 2014 Table S1 subsystem,,60.0,False,high
AOR00363,AO090102000638,YPT1,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00364,AO090005000880,"YPT31, YPT32 ",COPI,copi,liu2014,Liu 2014 Table S1 subsystem,,80.0,False,high
AOR00365,AO090003000619,"YPT51,YPT53 ",,,unassigned,,,,False,low
AOR00366,AO090012000273,YPT6,,,unassigned,,,,False,low
AOR00367,AO090120000329,YPT7 ,,,unassigned,,,,False,low
AOR00368,AO090005000965,YTA12,mitochondrial m‐AAA protease,mitochondrial_m_aaa_protease,liu2014,Liu 2014 Table S1 subsystem,,190.0,False,high
AOR00369,AO090011000292,ZUO1,,,unassigned,,,,False,low
